name,MAP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
TF_IDF,0.7082047264003307,0.635,0.15914000000002249,0.08405000000001225,0.7957,0.8405,0.7221381401084517,0.7367221758444242
BM25,0.707996169282628,0.6338,0.15912000000002247,0.08403000000001225,0.7956,0.8403,0.7218909844849197,0.736483316657377
PL2,0.6642175678371249,0.5839,0.1518600000000208,0.08098000000001156,0.7593,0.8098,0.6789453303207831,0.6954470457724568
DPH,0.6931028109156829,0.617,0.15690000000002197,0.08308000000001203,0.7845,0.8308,0.7078430927302379,0.7228330922346928
