name,MAP,P@1,P@5,P@10,R@5,R@10,nDCG@5,nDCG@10
TF_IDF,0.6955492894498811,0.6211,0.15674000000002192,0.08315000000001205,0.7837,0.8315,0.7091848725762083,0.7246918411282319
BM25,0.6925419773207182,0.6164,0.15646000000002186,0.08299000000001201,0.7823,0.8299,0.7065846327130137,0.7220489178066133
PL2,0.6533185644845708,0.5736,0.14948000000002026,0.08009000000001136,0.7474,0.8009,0.6672950873833549,0.684743126094179
DPH,0.6870210707221545,0.6107,0.1553200000000216,0.08265000000001194,0.7766,0.8265,0.7007819692192166,0.7169546496529575
